,pseado,tweet,lesreaction
0,Mickaël Correia@MickaCorreia·2h,"VallJet, le leader français du jet privé, brûle la planète en toute impunité.

La firme s’organise pour ne pas payer ses émissions de CO2 alors qu'elle émet chaque année l'équivalent de 2000 ans d'empreinte carbone d'un Français

Mon enquête sur @Mediapart","6 réponses, 285 Retweets, 442 J'aime"
1,Duval Philippe@p_duval·25 août,"Un Nice-Cannes (35km) en jet privé.

Fin de l'#abondance.","163 réponses, 2144 Retweets, 4977 J'aime"
2,I Fly Bernard@i_fly_Bernard·21 août,"Argument : les milliardaires ont besoin de leur jet privé pour diriger leur groupe et produire de la richesse.

Contre-exemple n°: 7536: aujourd'hui, nouveau vol Martinique --> Saint-Vincent et les Grenadines dans les Caraïbes pour l'avion du groupe Pinault .","121 réponses, 1046 Retweets, 3166 J'aime"
3,BB37000@BB37000_Parodie·22 août,"Alerte info

Devant la polémique sur son jet privé, Bernard Arnault s’est acheté un TGV privé à 25 millions d’euros.","264 réponses, 681 Retweets, 5975 J'aime"
4,Agir pour l’Environnement@APEnvironnement·24 août," Interdisons les vols en jets privés ! 

Signez la pétition : https://lc.cx/stopjet

Légitimement décriés, les vols en jet privé rejettent entre 5 et 14 fois plus de gaz à effet de serre que les avions commerciaux, eux-mêmes déjà fortement émetteurs !","308 Retweets, 186 J'aime"
5,olivier core@OlivierCore·1h,C'est vrai avoir un jet privé ce n'est qu'un symbole de l'abondance...,2 J'aime
6,Elie @elie_bdl·20 août,"Julien Bayou propose de bannir les jets privés. La réaction des personnes qui ne sont pas concernées et qui ne prendront jamais de jet privé de leur vie? Hurler à la dictature verte, dire que c’est ridicule et que les riches ne polluent pas tant que ça.

On va tous crever.","283 réponses, 1155 Retweets, 6383 J'aime"
7,Ministère Écologie Déserté  (parodie)@VilainCat·22 août,Bernard Arnault propose de compenser ses vols en jet privé en demandant à ses salariés de venir au travail à vélo #Climat,"121 réponses, 1633 Retweets, 5784 J'aime"
8,Floportman Enfoiré@Floportman_·26 août,"T'as retweeté une meuf qui croit que des gens font 12km en jet privé sans te dire que y'avait peut-être quelque chose de plus logique à creuser mais c'est moi le golem? 
On peut être conformiste dans une minorité aussi.",
9,Brèves de presse@Brevesdepresse·22 août,"CITATION - ""1h de jet privé va émettre autant de #carbone qu'un Français dans sa voiture pendant 1 an. Ns sommes dans une démesure totale qu'il est urgent de régler"" Lucas Chancel, codirecteur du laboratoire sur les inégalités à l’École d’économie de Paris. (itw Franceinfo)","88 réponses, 2524 Retweets, 8055 J'aime"
10,Thomas Portes@Portes_Thomas·20 août,En France 1 avion sur 10 qui décolle est un jet privé et près de 40% de ces vols se feraient à vide. Un jet émet jusqu’à 20 fois plus d’émissions de gaz à effet de serre au kilomètre qu’un avion de ligne classique. Il faut les interdire sans attendre. #InterdictionJetsPrives,"856 Retweets, 2298 J'aime"
11,BFMTV@BFMTV·23 août,"Jet privé, piscine individuelle, golf: ""La crise climatique fait que certaines activités doivent disparaître"", affirme Yamina Saheb (GIEC)","1575 réponses, 2076 Retweets, 4146 J'aime"
12,L'Obs@lobs·23 août,"Depuis que ses trajets  sont rendus publics par le compte @laviondebernard, Bernard Arnault, l'homme le plus riche de France, a arrêté d'utiliser son jet privé.⁠ Et l'utilisation des ""avions des riches"" superpollueurs devient une question politique.
https://nouvelobs.com/politique/20220823.OBS62303/superpolluants-symbole-d-injustice-sociale-la-chasse-aux-jets-prives-est-ouverte.html?utm_medium=Social&utm_source=Twitter#Echobox=1661263962…","49 réponses, 139 Retweets, 277 J'aime"
